17.12.2013 09:18:50.121 //-------------- 17.12.2013 9:18:50 -------------------------
17.12.2013 09:18:50.125 Configuration XML has been opened ... 
17.12.2013 09:18:50.132 Try to get Configuretion info...
17.12.2013 09:18:50.132 host: 192.168.1.253.....OK
17.12.2013 09:18:50.132 user: terminals......OK
17.12.2013 09:18:50.132 password: terminals1357.....OK
17.12.2013 09:18:50.133 Connecting to: 192.168.1.253 | terminals | terminals1357 | ... OK 
17.12.2013 09:18:50.646 Соединение с сервером ...Успешно
17.12.2013 09:18:50.647 Connected to: 192.168.1.253
17.12.2013 09:18:52.665 Проверка обновления...started
17.12.2013 09:18:52.673 Added toreload[m]: 2d62fc27900410c0fa08549bb812595b *Webclient\config\operators.xml
17.12.2013 09:18:52.688 Added toreload[m]: e145a85c7dc12b9919456eab6cf4c8ff *Webclient\config\templates\default.chq
17.12.2013 09:18:52.688 Added toreload[m]: b6d2b15106ff5434c4314d79e957b414 *Webclient\config\templates\erkc.chq
17.12.2013 09:18:52.688 Added toreload[m]: c317ded074ef562854a2011d024e9a9c *Webclient\config\templates\gibdd_opl.chq
17.12.2013 09:18:52.696 Added toreload[m]: 5cd8095667f6a223309a8354e0731541 *Webclient\config\templates\mts.chq
17.12.2013 09:18:52.696 Added toreload[m]: a1778e1d48194c0200974e810b5df982 *Webclient\config\templates\narco_disp.chq
17.12.2013 09:18:52.705 Added toreload[m]: d708445370210db603b34980fad52bf8 *Webclient\config\templates\plat_term.chq
17.12.2013 09:18:52.705 Added toreload[m]: b59405ad6ae578f5120f41d2ce4b1986 *Webclient\config\templates\tc.chq
17.12.2013 09:18:52.705 Added toreload[m]: 272106b48e6e55c014df3d66b9248781 *Webclient\config\templates\to.chq
17.12.2013 09:18:52.705 Added toreload[m]: 2749325d8c5c68bf3b3b2b388ec07011 *Webclient\config\templates\tv_3col_opt.chq
17.12.2013 09:18:52.705 Added toreload[m]: c7944a7adec3eeee4349db4de8fbef4c *Webclient\config\templates_frk\2pay.chq
