06.03.2014 14:01:51.583 //-------------- 06.03.2014 14:01:51 -------------------------
06.03.2014 14:01:51.705 Configuration XML has been opened ... 
06.03.2014 14:01:52.312 Try to get Configuration info...
06.03.2014 14:01:52.372 host: 192.168.1.253.....OK
06.03.2014 14:01:52.372 user: terminals......OK
06.03.2014 14:01:52.373 password: terminals1357.....OK
06.03.2014 14:01:52.373 Connecting to: 192.168.1.253 | terminals | terminals1357 | ... OK 
06.03.2014 14:01:52.378 Terminal: 99999
06.03.2014 14:01:52.378 SubDealer: 0
06.03.2014 14:01:52.378 Serial: 105899
06.03.2014 14:01:52.812 Соединение с сервером ...Успешно
06.03.2014 14:01:52.813 Connected to: 192.168.1.253
06.03.2014 14:02:32.343 Проверка обновления...started
06.03.2014 14:02:32.355 Совпали: f2f67ef641a35a6a67cbe794cb077768 *Webclient\20120530-ct.cer и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
06.03.2014 14:02:32.355 Совпали: 885e9eb42889ca547f4e3515dcde5d3d *Webclient\7z.exe и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
06.03.2014 14:02:32.355 Совпали: 17bddadca7044cc7b8406f1ca45210df *Webclient\7za.dll и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
06.03.2014 14:02:32.355 Совпали: 1a8ff3e97493b9f57748f3c31e6e14c8 *Webclient\ASKOPM_KIOSK.dll и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
06.03.2014 14:02:32.355 Совпали: d41d8cd98f00b204e9800998ecf8427e *Webclient\AtolPrinter.pcr и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
06.03.2014 14:02:32.355 Совпали: 90a44e0e4b14a4a5d839f8fc48030af5 *Webclient\Azimuth.dll и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
06.03.2014 14:02:32.355 Совпали: 4793b32cf8ddf285a78f0ba78e122f90 *Webclient\bcbie60.bpl и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
06.03.2014 14:02:32.355 Совпали: bfc82d93a05444aa8c7697722d4e7c1f *Webclient\beeline.bat и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
